Data,Ettari
2025-01-01 18:23:09+00:00,25.0
2025-01-07 10:30:00+00:00,23707.0
2025-01-07 18:18:00+00:00,14021.0
2025-01-07 22:29:30+00:00,799.0
2025-01-08 03:25:39+00:00,11.0
2025-01-08 06:15:27+00:00,30.0
2025-01-08 10:44:16+00:00,11.0
2025-01-08 14:07:38+00:00,395.0
2025-01-08 17:57:36+00:00,43.0
2025-01-09 15:34:13+00:00,1052.0
2025-01-10 11:24:44+00:00,19.0
2025-01-13 21:25:00+00:00,61.0
2025-01-14 13:10:51+00:00,2.0
2025-01-15 14:44:41+00:00,34.0
2025-01-21 01:19:23+00:00,85.0
2025-01-21 02:16:24+00:00,17.0
2025-01-21 12:32:09+00:00,3.0
2025-01-21 10:19:46+00:00,80.0
2025-01-21 17:00:13+00:00,39.0
2025-01-22 10:02:26+00:00,7.0
2025-01-22 10:53:02+00:00,10425.0
2025-01-23 00:36:20+00:00,45.0
2025-01-23 09:41:57+00:00,83.0
2025-01-23 13:58:00+00:00,6625.0
2025-01-23 14:42:58+00:00,2.0
2025-01-23 16:40:30+00:00,15.0
2025-01-29 12:53:53+00:00,105.0
